A:G,M,Z|C,E,H,O,U,Z
B:S,R,T,N,I,Q|E,K,U,W,X
C:U,Z,V,Y,P,A,R,G,H,Q,O,L,I,D,F,W,K,X,E,N,J,S|D,E,I,J,O,P,R,S,U,X
D:N,E,C,G,J,M,L,Q|C,E,G,I,M,O,T,Z
E:C,Q,K,A,B,T,S,G,D|C,D,J,O,U,W,Y
F:J,K,L|C,G,H,J,K,O,S,U,X,Z
G:K,V,J,Q,F,D,N,L|A,C,D,E,H,S,X,Z
H:U,V,A,W,F,S,K,G,R,X,L|C,M,N,O,R,T,X,Y
I:T,D,V,K,C,P,J|B,C,O,U,Y
J:K,P,F,C,E|C,D,F,G,I,N,P,R,S
K:F,N,M,L,B,O,T,X|C,E,F,G,H,I,J,N,P,Q,V,W,X
L:X,Q,V,U|C,D,F,G,H,K,O,P,T,W,Y
M:N,U,Q,W,H,D|A,D,K,P,W,X
N:P,J,K,H,X,Z|B,C,D,G,K,M,O,P,Y
O:C,A,X,H,S,F,D,Z,N,W,V,L,I,E|C,K,T,U,V,W,Z
P:N,C,L,K,Y,M,J,R|C,I,J,N,S,U,W
Q:K|B,C,D,E,G,L,M,S,U,W
R:H,C,J,V|B,C,H,P,U
S:F,J,T,X,C,Q,P,G,W|B,C,E,H,O,U,V
T:O,H,L,D,Y,X|B,E,I,K,S,U,X,Z
U:E,R,A,I,F,Q,C,Y,O,S,W,P,B,T|C,H,L,M
V:S,K,O,Z|C,G,H,I,L,O,R,W,X
W:Q,L,O,K,Z,M,B,V,E,P|C,H,M,O,S,U,Y
X:H,G,T,C,K,B,M,V,F|C,H,K,L,N,O,S,T
Y:I,W,H,E,N,L|C,P,T,U
Z:T,D,F,A,O,G|A,C,N,O,V,W
